"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","Age_imp","has_cabin","age_label","ticket_range","Embarked_value","has_sibsp","has_Parch","has_family"
7,0,"1","male",54,0,0,51.8625,"E46","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
24,1,"1","male",28,0,0,35.5,"A6","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
28,0,"1","male",19,3,2,263,"C23 C25 C27","S",FALSE,"Con cabina","adult","3","3","sibs","parch","family"
31,0,"1","male",40,0,0,27.7208,"","C",FALSE,"Sin cabina","adult","2","1","alone","alone","alone"
35,0,"1","male",28,1,0,82.1708,"","C",FALSE,"Sin cabina","adult","3","1","sibs","alone","family"
36,0,"1","male",42,1,0,52,"","S",FALSE,"Sin cabina","adult","2","3","sibs","alone","family"
55,0,"1","male",65,0,1,61.9792,"B30","C",FALSE,"Con cabina","adult","2","1","alone","parch","family"
56,1,"1","male",36,0,0,35.5,"C52","S",TRUE,"Con cabina","adult","2","3","alone","alone","alone"
63,0,"1","male",45,1,0,83.475,"C83","S",FALSE,"Con cabina","adult","3","3","sibs","alone","family"
65,0,"1","male",42,0,0,27.7208,"","C",TRUE,"Sin cabina","adult","2","1","alone","alone","alone"
84,0,"1","male",28,0,0,47.1,"","S",FALSE,"Sin cabina","adult","2","3","alone","alone","alone"
93,0,"1","male",46,1,0,61.175,"E31","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
97,0,"1","male",71,0,0,34.6542,"A5","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
98,1,"1","male",23,0,1,63.3583,"D10 D12","C",FALSE,"Con cabina","adult","2","1","alone","parch","family"
103,0,"1","male",21,0,1,77.2875,"D26","S",FALSE,"Con cabina","adult","3","3","alone","parch","family"
111,0,"1","male",47,0,0,52,"C110","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
119,0,"1","male",24,0,1,247.5208,"B58 B60","C",FALSE,"Con cabina","adult","3","1","alone","parch","family"
125,0,"1","male",54,0,1,77.2875,"D26","S",FALSE,"Con cabina","adult","3","3","alone","parch","family"
138,0,"1","male",37,1,0,53.1,"C123","S",FALSE,"Con cabina","adult","2","3","sibs","alone","family"
140,0,"1","male",24,0,0,79.2,"B86","C",FALSE,"Con cabina","adult","3","1","alone","alone","alone"
156,0,"1","male",51,0,1,61.3792,"","C",FALSE,"Sin cabina","adult","2","1","alone","parch","family"
169,0,"1","male",51,0,0,25.925,"","S",TRUE,"Sin cabina","adult","2","3","alone","alone","alone"
171,0,"1","male",61,0,0,33.5,"B19","S",FALSE,"Con cabina","adult","2","3","alone","alone","alone"
175,0,"1","male",56,0,0,30.6958,"A7","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
186,0,"1","male",47,0,0,50,"A32","S",TRUE,"Con cabina","adult","2","3","alone","alone","alone"
188,1,"1","male",45,0,0,26.55,"","S",FALSE,"Sin cabina","adult","2","3","alone","alone","alone"
210,1,"1","male",40,0,0,31,"A31","C",FALSE,"Con cabina","adult","2","1","alone","alone","alone"
225,1,"1","male",38,1,0,90,"C93","S",FALSE,"Con cabina","adult","3","3","sibs","alone","family"
246,0,"1","male",44,2,0,90,"C78","Q",FALSE,"Con cabina","adult","3","2","sibs","alone","family"
249,1,"1","male",37,1,1,52.5542,"D35","S",FALSE,"Con cabina","adult","2","3","sibs","parch","family"
